date,expiration,strike,right,open_interest,spot
2026-06-01,2026-09-18,25.5,P,1774,25.0
2026-06-01,2026-09-18,26.0,C,1202,25.0
2026-06-01,2026-09-18,26.0,P,748,25.0
2026-06-01,2026-09-18,26.5,C,1582,25.0
2026-06-01,2026-09-18,26.5,P,1268,25.0
2026-06-01,2026-09-18,27.0,C,1401,25.0
2026-06-01,2026-09-18,27.0,P,1422,25.0
2026-06-01,2026-09-18,27.5,C,1784,25.0
2026-06-01,2026-09-18,27.5,P,1136,25.0
2026-06-01,2026-09-18,28.0,C,1522,25.0
2026-06-01,2026-09-18,28.0,P,1812,25.0
2026-06-01,2026-09-18,29.0,C,1052,25.0
2026-06-01,2026-09-18,29.0,P,358,25.0
2026-06-01,2026-09-18,30.0,C,5384,25.0
2026-06-01,2026-09-18,30.0,P,558,25.0
2026-06-01,2026-09-18,32.5,C,840,25.0
2026-06-01,2026-09-18,32.5,P,818,25.0
2026-06-01,2026-09-18,35.0,C,371,25.0
2026-06-01,2026-09-18,35.0,P,268,25.0
2026-06-01,2026-09-18,37.5,C,303,25.0
2026-06-01,2026-09-18,37.5,P,257,25.0
2026-06-01,2026-09-18,40.0,C,1536,25.0
2026-06-01,2026-09-18,40.0,P,337,25.0
2026-06-01,2026-09-18,42.5,C,404,25.0
2026-06-01,2026-09-18,42.5,P,143,25.0
2026-06-01,2026-09-18,45.0,C,138,25.0
2026-06-01,2026-09-18,45.0,P,202,25.0
2026-06-01,2026-09-18,47.5,C,224,25.0
2026-06-01,2026-09-18,47.5,P,199,25.0
2026-06-01,2026-09-18,50.0,C,291,25.0
2026-06-01,2026-09-18,50.0,P,153,25.0
2026-06-01,2026-12-18,10.0,C,129,25.0
2026-06-01,2026-12-18,10.0,P,181,25.0
2026-06-01,2026-12-18,11.0,C,150,25.0
2026-06-01,2026-12-18,11.0,P,164,25.0
2026-06-01,2026-12-18,12.0,C,143,25.0
2026-06-01,2026-12-18,12.0,P,277,25.0
2026-06-01,2026-12-18,13.0,C,247,25.0
2026-06-01,2026-12-18,13.0,P,272,25.0
2026-06-01,2026-12-18,14.0,C,265,25.0
2026-06-01,2026-12-18,14.0,P,340,25.0
2026-06-01,2026-12-18,15.0,C,250,25.0
2026-06-01,2026-12-18,15.0,P,588,25.0
2026-06-01,2026-12-18,16.0,C,151,25.0
2026-06-01,2026-12-18,16.0,P,325,25.0
2026-06-01,2026-12-18,17.0,C,209,25.0
2026-06-01,2026-12-18,17.0,P,261,25.0
2026-06-01,2026-12-18,18.0,C,317,25.0
2026-06-01,2026-12-18,18.0,P,882,25.0
2026-06-01,2026-12-18,19.0,C,414,25.0
2026-06-01,2026-12-18,19.0,P,827,25.0
2026-06-01,2026-12-18,20.0,C,757,25.0
2026-06-01,2026-12-18,20.0,P,1389,25.0
2026-06-01,2026-12-18,21.0,C,567,25.0
2026-06-01,2026-12-18,21.0,P,1574,25.0
2026-06-01,2026-12-18,22.0,C,670,25.0
2026-06-01,2026-12-18,22.0,P,817,25.0
2026-06-01,2026-12-18,23.0,C,586,25.0
2026-06-01,2026-12-18,23.0,P,725,25.0
2026-06-01,2026-12-18,24.0,C,585,25.0
2026-06-01,2026-12-18,24.0,P,1188,25.0
2026-06-01,2026-12-18,24.5,C,1111,25.0
2026-06-01,2026-12-18,24.5,P,2584,25.0
2026-06-01,2026-12-18,25.0,C,847,25.0
2026-06-01,2026-12-18,25.0,P,1009,25.0
2026-06-01,2026-12-18,25.5,C,911,25.0
2026-06-01,2026-12-18,25.5,P,991,25.0
2026-06-01,2026-12-18,26.0,C,1196,25.0
2026-06-01,2026-12-18,26.0,P,422,25.0
2026-06-01,2026-12-18,26.5,C,1656,25.0
2026-06-01,2026-12-18,26.5,P,619,25.0
2026-06-01,2026-12-18,27.0,C,949,25.0
2026-06-01,2026-12-18,27.0,P,503,25.0
2026-06-01,2026-12-18,27.5,C,871,25.0
2026-06-01,2026-12-18,27.5,P,814,25.0
2026-06-01,2026-12-18,28.0,C,982,25.0
2026-06-01,2026-12-18,28.0,P,753,25.0
2026-06-01,2026-12-18,29.0,C,1096,25.0
2026-06-01,2026-12-18,29.0,P,981,25.0
2026-06-01,2026-12-18,30.0,C,2370,25.0
2026-06-01,2026-12-18,30.0,P,339,25.0
2026-06-01,2026-12-18,32.5,C,1069,25.0
2026-06-01,2026-12-18,32.5,P,419,25.0
2026-06-01,2026-12-18,35.0,C,911,25.0
2026-06-01,2026-12-18,35.0,P,451,25.0
2026-06-01,2026-12-18,37.5,C,500,25.0
2026-06-01,2026-12-18,37.5,P,378,25.0
2026-06-01,2026-12-18,40.0,C,2666,25.0
2026-06-01,2026-12-18,40.0,P,594,25.0
2026-06-01,2026-12-18,42.5,C,398,25.0
2026-06-01,2026-12-18,42.5,P,263,25.0
2026-06-01,2026-12-18,45.0,C,494,25.0
2026-06-01,2026-12-18,45.0,P,161,25.0
2026-06-01,2026-12-18,47.5,C,335,25.0
2026-06-01,2026-12-18,47.5,P,189,25.0
2026-06-01,2026-12-18,50.0,C,294,25.0
2026-06-01,2026-12-18,50.0,P,126,25.0
2026-06-01,2027-01-15,10.0,C,182,25.0
2026-06-01,2027-01-15,10.0,P,259,25.0
2026-06-01,2027-01-15,11.0,C,255,25.0
2026-06-01,2027-01-15,11.0,P,542,25.0
2026-06-01,2027-01-15,12.0,C,399,25.0
2026-06-01,2027-01-15,12.0,P,1470,25.0
2026-06-01,2027-01-15,13.0,C,753,25.0
2026-06-01,2027-01-15,13.0,P,616,25.0
2026-06-01,2027-01-15,14.0,C,661,25.0
2026-06-01,2027-01-15,14.0,P,856,25.0
2026-06-01,2027-01-15,15.0,C,600,25.0
2026-06-01,2027-01-15,15.0,P,1194,25.0
2026-06-01,2027-01-15,16.0,C,926,25.0
2026-06-01,2027-01-15,16.0,P,1118,25.0
2026-06-01,2027-01-15,17.0,C,1209,25.0
2026-06-01,2027-01-15,17.0,P,942,25.0
2026-06-01,2027-01-15,18.0,C,926,25.0
2026-06-01,2027-01-15,18.0,P,3872,25.0
2026-06-01,2027-01-15,19.0,C,1102,25.0
2026-06-01,2027-01-15,19.0,P,2842,25.0
2026-06-01,2027-01-15,20.0,C,1156,25.0
2026-06-01,2027-01-15,20.0,P,2315,25.0
2026-06-01,2027-01-15,21.0,C,1199,25.0
2026-06-01,2027-01-15,21.0,P,1945,25.0
2026-06-01,2027-01-15,22.0,C,1013,25.0
2026-06-01,2027-01-15,22.0,P,2612,25.0
2026-06-01,2027-01-15,23.0,C,1071,25.0
2026-06-01,2027-01-15,23.0,P,3075,25.0
2026-06-01,2027-01-15,24.0,C,2280,25.0
2026-06-01,2027-01-15,24.0,P,2992,25.0
2026-06-01,2027-01-15,24.5,C,1465,25.0
2026-06-01,2027-01-15,24.5,P,3203,25.0
2026-06-01,2027-01-15,25.0,C,2356,25.0
2026-06-01,2027-01-15,25.0,P,2330,25.0
2026-06-01,2027-01-15,25.5,C,1333,25.0
2026-06-01,2027-01-15,25.5,P,1440,25.0
2026-06-01,2027-01-15,26.0,C,1217,25.0
2026-06-01,2027-01-15,26.0,P,927,25.0
2026-06-01,2027-01-15,26.5,C,3805,25.0
2026-06-01,2027-01-15,26.5,P,2067,25.0
2026-06-01,2027-01-15,27.0,C,1774,25.0
2026-06-01,2027-01-15,27.0,P,863,25.0
2026-06-01,2027-01-15,27.5,C,782,25.0
2026-06-01,2027-01-15,27.5,P,1167,25.0
2026-06-01,2027-01-15,28.0,C,4983,25.0
2026-06-01,2027-01-15,28.0,P,1591,25.0
2026-06-01,2027-01-15,29.0,C,1647,25.0
2026-06-01,2027-01-15,29.0,P,1509,25.0
2026-06-01,2027-01-15,30.0,C,3273,25.0
2026-06-01,2027-01-15,30.0,P,1086,25.0
2026-06-01,2027-01-15,32.5,C,1686,25.0
2026-06-01,2027-01-15,32.5,P,1011,25.0
2026-06-01,2027-01-15,35.0,C,1877,25.0
2026-06-01,2027-01-15,35.0,P,1028,25.0
2026-06-01,2027-01-15,37.5,C,1586,25.0
2026-06-01,2027-01-15,37.5,P,631,25.0
2026-06-01,2027-01-15,40.0,C,4587,25.0
2026-06-01,2027-01-15,40.0,P,1264,25.0
2026-06-01,2027-01-15,42.5,C,712,25.0
2026-06-01,2027-01-15,42.5,P,469,25.0
2026-06-01,2027-01-15,45.0,C,1438,25.0
2026-06-01,2027-01-15,45.0,P,539,25.0
2026-06-01,2027-01-15,47.5,C,1335,25.0
2026-06-01,2027-01-15,47.5,P,447,25.0
2026-06-01,2027-01-15,50.0,C,1238,25.0
2026-06-01,2027-01-15,50.0,P,498,25.0
2026-06-01,2028-01-21,10.0,C,412,25.0
2026-06-01,2028-01-21,10.0,P,1100,25.0
2026-06-01,2028-01-21,11.0,C,377,25.0
2026-06-01,2028-01-21,11.0,P,520,25.0
2026-06-01,2028-01-21,12.0,C,411,25.0
2026-06-01,2028-01-21,12.0,P,951,25.0
2026-06-01,2028-01-21,13.0,C,309,25.0
2026-06-01,2028-01-21,13.0,P,1128,25.0
2026-06-01,2028-01-21,14.0,C,489,25.0
2026-06-01,2028-01-21,14.0,P,1489,25.0
2026-06-01,2028-01-21,15.0,C,280,25.0
2026-06-01,2028-01-21,15.0,P,830,25.0
2026-06-01,2028-01-21,16.0,C,391,25.0
2026-06-01,2028-01-21,16.0,P,892,25.0
2026-06-01,2028-01-21,17.0,C,834,25.0
2026-06-01,2028-01-21,17.0,P,1213,25.0
2026-06-01,2028-01-21,18.0,C,755,25.0
2026-06-01,2028-01-21,18.0,P,1318,25.0
2026-06-01,2028-01-21,19.0,C,953,25.0
2026-06-01,2028-01-21,19.0,P,1052,25.0
2026-06-01,2028-01-21,20.0,C,1217,25.0
2026-06-01,2028-01-21,20.0,P,2022,25.0
2026-06-01,2028-01-21,21.0,C,1160,25.0
2026-06-01,2028-01-21,21.0,P,2080,25.0
2026-06-01,2028-01-21,22.0,C,1197,25.0
2026-06-01,2028-01-21,22.0,P,3713,25.0
2026-06-01,2028-01-21,23.0,C,1110,25.0
2026-06-01,2028-01-21,23.0,P,1735,25.0
2026-06-01,2028-01-21,24.0,C,931,25.0
2026-06-01,2028-01-21,24.0,P,1425,25.0
2026-06-01,2028-01-21,24.5,C,806,25.0
2026-06-01,2028-01-21,24.5,P,1540,25.0
2026-06-01,2028-01-21,25.0,C,1951,25.0
2026-06-01,2028-01-21,25.0,P,1438,25.0
2026-06-01,2028-01-21,25.5,C,1983,25.0
2026-06-01,2028-01-21,25.5,P,953,25.0
2026-06-01,2028-01-21,26.0,C,2601,25.0
2026-06-01,2028-01-21,26.0,P,1573,25.0
2026-06-01,2028-01-21,26.5,C,1749,25.0
2026-06-01,2028-01-21,26.5,P,942,25.0
2026-06-01,2028-01-21,27.0,C,2186,25.0
2026-06-01,2028-01-21,27.0,P,1233,25.0
2026-06-01,2028-01-21,27.5,C,1061,25.0
2026-06-01,2028-01-21,27.5,P,1100,25.0
2026-06-01,2028-01-21,28.0,C,1884,25.0
2026-06-01,2028-01-21,28.0,P,803,25.0
